product_id,product_name,average_reordered,low_reorder,high_reorder,off_product_name,image_url,match_score
11,Peach Mango Juice,0.5673076923076923,0,1,Peach and mango juice,https://images.openfoodfacts.net/images/products/501/010/224/3736/front_en.5.400.jpg,0.8947368421052632
34,Peanut Butter Cereal,0.6009791921664627,0,1,Peanut Butter Clusters,https://images.openfoodfacts.net/images/products/060/265/217/1826/front_en.58.400.jpg,0.8095238095238095
41,Organic Sourdough Einkorn Crackers Rosemary,0.6530612244897959,0,1,"Crackers, Organic Einkorn Sourdough, Rosemary",https://images.openfoodfacts.net/images/products/081/542/101/2514/front_en.4.400.jpg,0.5909090909090909
43,Organic Clementines,0.15384615384615385,1,0,Brassé clémentine,https://images.openfoodfacts.net/images/products/327/322/014/1236/front_fr.3.400.jpg,0.6666666666666666
46,Raisin Cinnamon Bagels 5 count,0.7682119205298014,0,1,Cinnamon Raisin Bagel 6 Count,https://images.openfoodfacts.net/images/products/028/975/900/0008/front_en.3.400.jpg,0.711864406779661
48,"School Glue, Washable, No Run",0.0,1,0,"Elmer's Washable, No Run School Glue",https://images.openfoodfacts.net/images/products/002/600/000/3049/front_en.6.400.jpg,0.5538461538461539
70,Sweet Cooking Rice Seasoning,0.0967741935483871,1,0,Sweet Cooking Rice Seasoning,https://images.openfoodfacts.net/images/products/001/115/202/1409/front_en.5.400.jpg,1.0
72,Organic Honeycrisp Apples,0.15384615384615385,1,0,Organic Honeycrisp apples,https://images.openfoodfacts.net/images/products/080/430/508/0350/front_en.10.400.jpg,1.0
77,Coconut Chocolate Chip Energy Bar,0.6342281879194631,0,1,Coconut chocolate chip energy bar,https://images.openfoodfacts.net/images/products/072/225/216/0300/front_en.16.400.jpg,1.0
95,Organic Rice Vinegar,0.1478292070326516,1,0,Organic Rice Vinegar,https://images.openfoodfacts.net/images/products/007/064/106/4129/front_en.5.400.jpg,1.0
100,Peanut Butter & Strawberry Jam Sandwich,0.5606407322654462,0,1,Peanut Butter and Strawberry Jam Sandwich,https://images.openfoodfacts.net/images/products/086/000/610/3965/front_en.3.400.jpg,0.95
102,Danish Butter Cookies,0.1891891891891892,1,0,Danish Butter Cookies,https://images.openfoodfacts.net/images/products/007/733/034/5583/front_de.18.400.jpg,1.0
108,Organic Sprouted Barley Bread,0.6413793103448275,0,1,Ezekiel 4:9 Sprouted Flourless Grain Loaf,https://images.openfoodfacts.net/images/products/007/347/200/1202/front_en.126.400.jpg,0.4857142857142857
116,English Muffins,0.6958017894012388,0,1,English Muffin,https://images.openfoodfacts.net/images/products/004/812/110/2081/front_en.86.400.jpg,0.9655172413793104
120,Cauliflower Florettes,0.14285714285714285,1,0,Cauliflower florettes,https://images.openfoodfacts.net/images/products/004/122/056/5139/front_en.3.400.jpg,1.0
122,Pomegranate Molasses,0.05555555555555555,1,0,Pomegranate molasses,https://images.openfoodfacts.net/images/products/502/922/300/8490/front_en.20.400.jpg,1.0
123,Sherry Reserve Vinegar,0.06619385342789598,1,0,Reserve Sherry Vinegar,https://images.openfoodfacts.net/images/products/064/250/697/5507/front_en.8.400.jpg,0.6818181818181818
128,Organic Wild Blueberries,0.5442238267148014,0,1,Organic Wild Blueberries,https://images.openfoodfacts.net/images/products/000/000/016/1411/front_en.10.400.jpg,1.0
132,Yogurt Strawberry Pomegranate,0.6,0,1,Corner plant-based strawberry & pomegranate,https://images.openfoodfacts.net/images/products/402/550/027/4801/front_en.14.400.jpg,0.7222222222222222
135,Dark Chocolate Ice Cream Topping,0.16666666666666666,1,0,Old fashioned dark chocolate ice cream and dessert topping,https://images.openfoodfacts.net/images/products/006/038/398/1358/front_fr.3.400.jpg,0.7111111111111111
141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,0.6455070074196207,0,1,Organic Chia & Quinoa Restaurant Style Tortilla Chips,https://images.openfoodfacts.net/images/products/089/044/400/0281/front_en.7.400.jpg,0.6792452830188679
143,Organic Lemons,0.17391304347826086,1,0,Organic Lemon Curd Yoghurt,https://images.openfoodfacts.net/images/products/503/658/920/4121/front_en.23.400.jpg,0.65
148,Nectarines,0.5665918825209055,0,1,Dry Peach & Nectarine,https://images.openfoodfacts.net/images/products/000/002/932/6273/front_en.3.400.jpg,0.5806451612903226
155,Artisan Ciabatta,0.1694915254237288,1,0,Ciabatta,https://images.openfoodfacts.net/images/products/065/708/202/7021/front_en.8.400.jpg,0.6666666666666666
156,Extra Spearmint Sugar-Free Gum,0.5603864734299517,0,1,Spearmint Sugar Free Gum,https://images.openfoodfacts.net/images/products/930/061/311/5452/front_en.3.400.jpg,0.8518518518518519
